,text,entity_indices,entities,labels,relations,edges
0,The system as described above has its greatest application in an arrayed configuration of antenna elements,"(12, 15)","['configuration', 'elements']","Component-Whole(e2,e1)",['Component-Whole'],"(e2,e1)"
1,The child was carefully wrapped and bound into the cradle by means of a cord,"(1, 9)","['child', 'cradle']",Other,['Other'],NA
2,The author of a keygen uses a disassembler to look at the raw assembly code,"(1, 7)","['author', 'disassembler']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
3,A misty ridge uprises from the surge,"(2, 6)","['ridge', 'surge']",Other,['Other'],NA
4,The student association is the voice of the undergraduate student population of the State University of New York at Buffalo,"(1, 2)","['student', 'association']","Member-Collection(e1,e2)",['Member-Collection'],"(e1,e2)"
5,This is the sprawling complex that is Peru largest producer of silver,"(4, 9)","['complex', 'producer']",Other,['Other'],NA
6,The current view is that the chronic inflammation in the distal part of the stomach caused by Helicobacter pylori infection results in an increased acid production from the non-infected upper corpus region of the stomach,"(7, 19)","['inflammation', 'infection']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
7,People have been moving back into downtown,"(0, 6)","['People', 'downtown']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
8,The lawsonite was contained in a platinum crucible and the counter-weight was a plastic crucible with metal pieces,"(1, 7)","['lawsonite', 'platinum crucible']","Content-Container(e1,e2)",['Content-Container'],"(e1,e2)"
9,The solute was placed inside a beaker and 5 mL of the solvent was pipetted into a 25 mL glass flask for each trial,"(12, 20)","['solvent', 'flask']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
10,The fifty essays collected in this volume testify to most of the prominent themes from Professor Quispel scholarly career,"(2, 6)","['essays', 'volume']","Member-Collection(e1,e2)",['Member-Collection'],"(e1,e2)"
11,Their composer has sunk into oblivion,"(1, 5)","['composer', 'oblivion']",Other,['Other'],NA
12,The Pulitzer Committee issues an official citation explaining the reasons for the award,"(6, 9)","['citation', 'reasons']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
13,The burst has been caused by water hammer pressure,"(1, 8)","['burst', 'pressure']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
14,Even commercial networks have moved into high-definition broadcast,"(2, 7)","['networks', 'high-definition broadcast']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
15,It was a friendly call to remind them about the bill and make sure they have a copy of the invoice,"(4, 10)","['call', 'bill']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
16,Texas-born virtuoso finds harmony sophistication in Appalachian instrument,"(1, 7)","['virtuoso', 'instrument']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
17,The factory products have included flower pots Finnish rooster-whistles pans trays tea pots ash trays and air moisturisers,"(1, 10)","['factory', 'trays']","Product-Producer(e2,e1)",['Product-Producer'],"(e2,e1)"
